CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn,preds
524,France,Male,22,9,0.0,2,1,0,74405.34,0,"[0.8568008965066842, 0.14319910349331572, 0.0]"
651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1,"[0.7820016184071321, 0.21799838159286786, 0.0]"
603,Spain,Male,46,2,0.0,2,1,0,174478.54,0,"[0.7786083356919801, 0.2213916643080199, 0.0]"
544,Germany,Male,44,2,108895.93,1,0,0,69228.2,1,"[0.6244455396975224, 0.37555446030247763, 0.0]"
518,France,Female,27,1,133801.49,1,1,1,143315.57,0,"[0.7580570118754534, 0.24194298812454665, 0.0]"
676,Spain,Male,35,0,0.0,2,0,0,139911.58,0,"[0.8861571439044884, 0.11384285609551158, 0.0]"
573,Germany,Female,47,4,152522.47,1,0,1,164038.07,1,"[0.6240218327183382, 0.3759781672816618, 0.0]"
677,Germany,Female,36,10,68806.84,1,1,0,33075.24,0,"[0.8366641223332868, 0.16333587766671323, 0.0]"
709,France,Female,41,3,150300.65,2,1,0,71672.86,0,"[0.7901148813773975, 0.20988511862260245, 0.0]"
631,Spain,Female,41,0,0.0,1,0,0,87959.83,0,"[0.8154789212811752, 0.18452107871882484, 0.0]"
697,Germany,Female,38,6,132591.36,1,1,1,7387.8,1,"[0.7980104629894523, 0.2019895370105477, 0.0]"
684,France,Male,38,5,105069.98,2,1,1,198355.28,0,"[0.8433432936550546, 0.1566567063449454, 0.0]"
712,Spain,Male,74,5,0.0,2,0,0,151425.82,0,"[0.633416342067702, 0.36658365793229797, 0.0]"
779,France,Female,41,10,99786.2,1,1,0,86927.53,0,"[0.8691749702095265, 0.13082502979047347, 0.0]"
590,France,Male,32,9,0.0,2,1,0,138889.15,0,"[0.8548185548269663, 0.14518144517303364, 0.0]"
808,Germany,Male,39,3,124216.93,1,0,1,171442.36,0,"[0.8953378555951266, 0.10466214440487344, 0.0]"
644,France,Male,33,2,0.0,1,1,0,96420.58,0,"[0.8723664889521789, 0.12763351104782103, 0.0]"
718,France,Female,29,3,0.0,1,0,1,134462.29,0,"[0.9258523362170641, 0.07414766378293586, 0.0]"
457,France,Male,41,8,73700.12,3,1,1,185750.02,1,"[0.6260873220407965, 0.37391267795920347, 0.0]"
636,France,Male,31,6,0.0,2,1,1,2382.61,0,"[0.8636171523914062, 0.1363828476085937, 0.0]"
642,Spain,Female,33,9,0.0,2,1,1,150475.14,0,"[0.8813161912912334, 0.11868380870876659, 0.0]"
710,France,Male,33,10,118327.17,2,1,1,192928.82,0,"[0.8796920100132218, 0.12030798998677816, 0.0]"
656,Spain,Male,28,8,120047.77,1,1,1,137173.39,0,"[0.8637477915298727, 0.13625220847012734, 0.0]"
600,France,Female,49,6,0.0,1,0,1,148087.88,1,"[0.7467394729960989, 0.2532605270039011, 0.0]"
733,Germany,Female,33,7,187257.94,1,0,1,190430.81,0,"[0.8634319595517471, 0.1365680404482529, 0.0]"
604,Spain,Male,40,5,155455.43,1,0,1,113581.85,0,"[0.7092862990886278, 0.29071370091137216, 0.0]"
562,Germany,Female,39,6,130565.02,1,1,0,9854.72,1,"[0.6599614827767089, 0.34003851722329115, 0.0]"
497,Spain,Male,27,7,149400.27,1,0,0,167522.19,0,"[0.7367875543776603, 0.2632124456223397, 0.0]"
500,Spain,Female,50,5,0.0,4,1,1,83866.35,1,"[0.6089647467566541, 0.39103525324334587, 0.0]"
582,France,Male,50,2,148942.0,1,1,1,116944.3,0,"[0.5901218515107676, 0.4098781484892325, 0.0]"
435,France,Male,54,3,0.0,1,1,0,156910.46,1,"[0.5104291206614358, 0.4895708793385643, 0.0]"
850,France,Male,56,7,131317.48,1,1,1,119175.45,0,"[0.8206451723633963, 0.17935482763660374, 0.0]"
559,France,Female,34,5,68999.66,2,1,1,66879.27,0,"[0.763265789892926, 0.236734210107074, 0.0]"
694,France,Female,30,9,0.0,2,1,1,26960.31,0,"[0.9020631003957189, 0.09793689960428105, 0.0]"
652,Spain,Female,33,3,124832.51,1,1,0,195877.06,0,"[0.8402019104429687, 0.15979808955703131, 0.0]"
792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1,"[0.7797611956976623, 0.22023880430233764, 0.0]"
655,Germany,Female,44,6,146498.76,1,1,0,64853.51,1,"[0.7173866912833269, 0.28261330871667306, 0.0]"
730,Spain,Female,39,6,140094.59,1,1,0,172450.04,1,"[0.8462622807465717, 0.15373771925342827, 0.0]"
624,France,Male,51,10,123401.43,2,1,1,127825.25,0,"[0.6584238190909564, 0.3415761809090437, 0.0]"
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,"[0.7674281869603495, 0.23257181303965047, 0.0]"
512,Germany,Female,32,2,123403.85,2,1,0,80120.19,0,"[0.6980671533886067, 0.30193284661139336, 0.0]"
608,France,Female,34,4,88772.87,1,1,1,168822.01,0,"[0.8159810412653696, 0.1840189587346303, 0.0]"
705,France,Male,92,1,126076.24,2,1,1,34436.83,0,"[0.28834562702944433, 0.7116543729705557, 0.0]"
610,Spain,Female,31,5,0.0,2,0,0,63736.36,0,"[0.8578069701711748, 0.14219302982882526, 0.0]"
787,Germany,Female,38,3,158373.23,1,1,1,28228.35,0,"[0.8527014072652266, 0.14729859273477347, 0.0]"
786,Spain,Male,31,9,0.0,2,1,1,18210.36,0,"[0.9325146402879936, 0.0674853597120064, 0.0]"
714,France,Female,31,4,125169.26,1,1,1,106636.89,0,"[0.8735813142786837, 0.1264186857213163, 0.0]"
713,Germany,Male,40,3,114446.84,2,1,1,87308.18,0,"[0.8236539689843221, 0.17634603101567797, 0.0]"
615,Spain,Male,41,1,126773.43,1,1,1,55551.26,0,"[0.7136321784170288, 0.2863678215829712, 0.0]"
640,France,Female,50,9,117565.03,2,0,0,82559.77,0,"[0.674880852856956, 0.325119147143044, 0.0]"
838,Spain,Male,35,0,0.0,2,0,1,197305.91,0,"[0.9501413764276215, 0.04985862357237845, 0.0]"
496,France,Male,30,0,90963.49,1,0,1,27802.0,0,"[0.7081039664963964, 0.29189603350360366, 0.0]"
753,Germany,Female,35,5,82453.96,2,0,0,18254.75,0,"[0.878383085158664, 0.121616914841336, 0.0]"
608,Germany,Female,30,2,91057.37,2,1,0,132973.17,0,"[0.8317571861502593, 0.16824281384974069, 0.0]"
803,France,Male,42,5,0.0,1,1,0,196466.83,1,"[0.9222764506866586, 0.07772354931334136, 0.0]"
443,France,Female,54,3,138547.97,1,1,1,70196.23,1,"[0.3688180683229322, 0.6311819316770678, 0.0]"
680,Spain,Female,34,7,0.0,2,1,0,98949.85,0,"[0.8880923857907674, 0.11190761420923255, 0.0]"
816,Germany,Female,34,2,108410.87,2,1,0,102908.91,0,"[0.9136653936051476, 0.0863346063948524, 0.0]"
757,France,Male,29,8,130306.49,1,1,0,77469.38,0,"[0.8989524223200556, 0.10104757767994438, 0.0]"
602,Spain,Male,33,5,0.0,2,0,1,64038.34,0,"[0.8419712096687184, 0.1580287903312816, 0.0]"
620,Spain,Male,21,9,0.0,2,0,0,154882.79,0,"[0.9189813388284657, 0.08101866117153432, 0.0]"
542,France,Male,34,8,101116.06,1,1,0,196395.05,0,"[0.7620531435569546, 0.23794685644304533, 0.0]"
544,France,Male,40,8,0.0,2,1,0,61581.2,0,"[0.7460489865147002, 0.2539510134852998, 0.0]"
748,France,Male,60,0,152335.7,1,1,0,126743.33,1,"[0.6797701461117409, 0.32022985388825914, 0.0]"
365,Germany,Male,30,0,127760.07,1,1,0,81537.85,1,"[0.5431427072021267, 0.4568572927978734, 0.0]"
619,France,Female,30,7,70729.17,1,1,1,160948.87,0,"[0.8556989907560775, 0.14430100924392258, 0.0]"
615,Germany,Male,58,3,72309.3,1,1,1,85687.09,1,"[0.6003702510207811, 0.3996297489792188, 0.0]"
667,Spain,Male,39,9,0.0,2,1,0,68873.8,0,"[0.8519324295377337, 0.1480675704622662, 0.0]"
592,Germany,Female,34,6,102143.93,2,1,1,102628.98,0,"[0.7806718147955081, 0.2193281852044919, 0.0]"
744,Germany,Male,32,4,96106.83,1,1,1,79812.77,0,"[0.891334824984222, 0.10866517501577799, 0.0]"
727,France,Male,34,10,0.0,2,1,1,198637.34,0,"[0.9213481238199841, 0.07865187618001589, 0.0]"
628,Germany,Male,50,4,122227.71,1,0,1,14217.77,1,"[0.6329680311887906, 0.3670319688112093, 0.0]"
592,Spain,Male,41,0,0.0,2,1,0,65906.07,0,"[0.7792974948540066, 0.22070250514599338, 0.0]"
756,France,Male,27,8,0.0,2,1,1,157932.75,0,"[0.9453481857408452, 0.054651814259154774, 0.0]"
635,Germany,Female,37,9,146748.07,1,0,1,11407.58,0,"[0.7444385450896251, 0.2555614549103748, 0.0]"
647,Spain,Male,47,10,99835.17,1,0,1,89103.05,0,"[0.7259676021949101, 0.2740323978050899, 0.0]"
829,Spain,Female,26,8,101440.36,2,1,1,19324.5,0,"[0.9368379524957027, 0.06316204750429728, 0.0]"
626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0,"[0.7588138572749746, 0.24118614272502534, 0.0]"
755,Germany,Male,43,6,165048.5,3,1,0,16929.41,1,"[0.793191252898044, 0.206808747101956, 0.0]"
591,Germany,Female,35,2,90194.34,2,1,0,57064.57,0,"[0.7662583451723884, 0.23374165482761153, 0.0]"
570,France,Female,43,9,0.0,2,0,1,11417.26,0,"[0.7321445531791464, 0.26785544682085366, 0.0]"
599,Spain,Male,42,6,0.0,2,1,0,113868.4,0,"[0.7917091710856986, 0.20829082891430142, 0.0]"
679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0,"[0.8363190268876081, 0.16368097311239194, 0.0]"
775,Germany,Male,51,2,123783.25,1,1,1,134901.57,0,"[0.8023338190207131, 0.1976661809792869, 0.0]"
549,Germany,Female,43,3,134985.66,1,1,0,6101.41,0,"[0.5973176957186934, 0.4026823042813065, 0.0]"
750,France,Male,33,2,152302.72,1,1,0,71333.44,0,"[0.8669173735422108, 0.13308262645778926, 0.0]"
609,France,Male,34,1,0.0,1,1,1,181177.9,0,"[0.8610095198088231, 0.13899048019117688, 0.0]"
715,Spain,Male,42,6,0.0,2,1,1,128745.69,0,"[0.8742513345559164, 0.1257486654440836, 0.0]"
625,France,Female,44,7,0.0,1,1,0,4791.8,0,"[0.7723074138217585, 0.2276925861782415, 0.0]"
588,Spain,Male,59,4,0.0,2,1,1,27435.41,0,"[0.6001090931238487, 0.39989090687615125, 0.0]"
730,Spain,Male,38,5,118866.36,1,1,1,163317.5,0,"[0.8597342939290352, 0.14026570607096475, 0.0]"
586,France,Female,38,6,0.0,2,1,1,37935.83,0,"[0.7919731807825501, 0.20802681921744992, 0.0]"
765,Spain,Female,33,5,84557.82,1,1,1,69039.43,0,"[0.8996200899782147, 0.10037991002178527, 0.0]"
544,Germany,Male,47,5,105245.21,1,0,0,99922.08,1,"[0.6084014073416604, 0.3915985926583397, 0.0]"
597,France,Female,60,0,131778.08,1,0,0,10703.53,1,"[0.4752074555429886, 0.5247925444570114, 0.0]"
542,Spain,Male,43,6,113567.94,1,1,0,89543.25,0,"[0.6377144030136979, 0.3622855969863022, 0.0]"
495,Germany,Male,39,8,120252.02,2,1,1,10160.23,0,"[0.592191381160711, 0.407808618839289, 0.0]"
774,Spain,Male,32,9,0.0,2,1,0,10604.48,0,"[0.9248134730779694, 0.07518652692203061, 0.0]"
744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0,"[0.872728683575194, 0.12727131642480605, 0.0]"
743,France,Male,37,8,69143.91,2,0,1,105780.18,0,"[0.8833389323799583, 0.11666106762004169, 0.0]"
627,Germany,Male,24,5,102773.2,2,1,0,56793.02,1,"[0.8598903574793533, 0.14010964252064673, 0.0]"
497,France,Male,41,9,0.0,1,0,0,22074.48,0,"[0.6776668186261929, 0.3223331813738071, 0.0]"
516,France,Male,37,8,0.0,1,1,0,101834.58,0,"[0.7552009403323966, 0.24479905966760343, 0.0]"
597,France,Female,29,1,132144.35,1,1,0,158086.33,0,"[0.8139172980978393, 0.18608270190216072, 0.0]"
752,Germany,Female,42,3,65046.08,2,0,1,140139.28,0,"[0.869746102558383, 0.130253897441617, 0.0]"
563,France,Male,35,3,106250.72,1,0,0,39546.32,0,"[0.7251090986132134, 0.2748909013867867, 0.0]"
825,France,Female,36,3,146053.66,1,1,1,138344.7,0,"[0.9036268260939904, 0.09637317390600962, 0.0]"
747,France,Male,41,5,0.0,2,1,1,22750.17,0,"[0.8796737369383294, 0.12032626306167066, 0.0]"
755,France,Female,78,5,121206.96,1,1,1,76016.49,0,"[0.511472571433849, 0.4885274285661509, 0.0]"
838,France,Female,34,8,0.0,2,1,0,27472.07,0,"[0.9406451121027165, 0.05935488789728345, 0.0]"
435,Germany,Male,44,3,151739.65,1,1,0,167461.5,0,"[0.4883445432850365, 0.5116554567149635, 0.0]"
542,France,Male,39,3,135096.77,1,1,1,14353.43,1,"[0.6345015386976554, 0.36549846130234465, 0.0]"
699,France,Male,39,2,109724.38,1,1,1,180022.39,0,"[0.8408111696762148, 0.15918883032378514, 0.0]"
761,Spain,Female,34,2,0.0,2,1,0,61251.25,0,"[0.9177087151041754, 0.08229128489582455, 0.0]"
636,France,Female,24,9,0.0,2,0,1,38830.72,0,"[0.9011676762326468, 0.09883232376735314, 0.0]"
670,France,Male,37,2,0.0,2,1,1,54229.74,0,"[0.8603013386455527, 0.1396986613544473, 0.0]"
697,France,Male,35,5,133087.76,1,1,0,64771.61,0,"[0.8301245709919158, 0.16987542900808414, 0.0]"
586,Spain,Male,34,5,168094.01,1,0,0,20058.61,0,"[0.7077581221067797, 0.29224187789322037, 0.0]"
593,France,Female,41,6,0.0,1,1,0,65170.66,0,"[0.7820048403035913, 0.2179951596964087, 0.0]"
720,France,Male,52,7,0.0,1,1,1,14781.12,0,"[0.7963159521634331, 0.20368404783656688, 0.0]"
811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,"[0.909489749861249, 0.09051025013875102, 0.0]"
